Arm size,"Rate of Change
(ROC) in Velocity"
26,-11.29268293
35.5,-17.85365854
26,-8.048780488
19.5,-30.68292683
27,-23.95121951
22,-12.31707317
22.8,-5.804878049
36,-11.29268293
24,-21.48780488
25,-16.51219512
26.6,-10.63414634
30.5,0.073170732
22.5,-17.6097561
45,-12.53658537
27,-7.365853659
24,-11
25,-22.53658537
24.5,-15.2195122
32,-16.48780488
38,-14.85365854
30,-17.53658537
24,-5.487804878
22,-12.07317073
36,-23.14634146
28,-3.926829268
26,-10.97560976
31.75,-28.51219512
24.8,-13.41463415
22,-12
31,-17.87804878
30,-12.56097561
37.34,-12.90243902
25,-13.04878049
38,-23.85365854
44,-18.82926829
23,-12.43902439
24,-11.82926829
21.6,-12.24390244
20,-25.56097561
26.5,-8.951219512
27,-6.195121951
31,-10.7804878
28,-17
27.9,-3.634146341
23.5,-16.02439024
29.8,-15.53658537
26.6,-8.243902439
29.5,-6.634146341
22,-17.04878049
27,-18.92682927
27.4,-7.609756098
23,-21.19512195
